context_len,depth,accuracy,top5,p_expected,nll_expected,rank_expected,delta_nll,log10_p_ratio
64,0.100,0.0000,0.0000,0.000005,13.033887,23303.250,-0.008426,0.003659
64,0.250,0.0000,0.0000,0.000005,13.057174,23324.450,0.014862,-0.006455
64,0.500,0.0000,0.0000,0.000005,13.030269,23246.500,-0.012043,0.005230
64,0.750,0.0000,0.0000,0.000006,13.016103,23262.800,-0.026209,0.011383
64,0.900,0.0000,0.0000,0.000005,13.013908,23158.050,-0.028404,0.012336
128,0.100,0.0000,0.0000,0.000005,13.118909,23183.650,0.000835,-0.000363
128,0.250,0.0000,0.0000,0.000005,13.096391,23112.350,-0.021683,0.009417
128,0.500,0.0000,0.0000,0.000005,13.111120,23159.450,-0.006954,0.003020
128,0.750,0.0000,0.0000,0.000005,13.109050,23152.150,-0.009024,0.003919
128,0.900,0.0000,0.0000,0.000005,13.087854,23148.650,-0.030220,0.013124
256,0.100,0.0000,0.0000,0.000005,13.187173,23107.550,-0.007675,0.003333
256,0.250,0.0000,0.0000,0.000005,13.185534,23103.600,-0.009314,0.004045
256,0.500,0.0000,0.0000,0.000005,13.173193,23131.650,-0.021655,0.009404
256,0.750,0.0000,0.0000,0.000005,13.190114,23069.250,-0.004733,0.002055
256,0.900,0.0000,0.0000,0.000005,13.137963,23081.850,-0.056884,0.024704
