context_len,depth,accuracy,top5,p_expected,nll_expected,rank_expected,delta_nll,log10_p_ratio
64,0.100,0.0000,0.0000,0.000006,12.719831,21552.000,-0.031472,0.013668
64,0.250,0.0000,0.0000,0.000005,12.747632,21611.550,-0.003672,0.001594
64,0.500,0.0000,0.0000,0.000006,12.738500,21657.650,-0.012803,0.005560
64,0.750,0.0000,0.0000,0.000006,12.743269,21569.300,-0.008034,0.003489
64,0.900,0.0000,0.0000,0.000006,12.647446,21434.300,-0.103857,0.045105
128,0.100,0.0000,0.0000,0.000005,12.852747,21757.200,-0.012151,0.005277
128,0.250,0.0000,0.0000,0.000005,12.852941,21749.700,-0.011957,0.005193
128,0.500,0.0000,0.0000,0.000005,12.860343,21779.350,-0.004555,0.001978
128,0.750,0.0000,0.0000,0.000005,12.829916,21663.950,-0.034982,0.015193
128,0.900,0.0000,0.0000,0.000005,12.805018,21774.900,-0.059880,0.026005
256,0.100,0.0000,0.0000,0.000005,12.742283,21564.850,-0.001177,0.000511
256,0.250,0.0000,0.0000,0.000005,12.739394,21577.900,-0.004067,0.001766
256,0.500,0.0000,0.0000,0.000005,12.732176,21553.150,-0.011284,0.004901
256,0.750,0.0000,0.0000,0.000005,12.734499,21493.850,-0.008961,0.003892
256,0.900,0.0000,0.0000,0.000005,12.698707,21487.650,-0.044753,0.019436
